?	22379
Parti social français. Auteur du texte	984
Bourse de Paris. Auteur du texte	131
Eglise catholique. Diocèse (Rouen). Auteur du texte	97
Cercle de la librairie (France). Auteur du texte	92
Seine. Auteur du texte	91
Société historique algérienne. Auteur du texte	77
Société des gens de lettres (France). Auteur du texte	44
Agence centrale des artistes...	43
Société des travaux littéraires artistiques et scientifiques. Auteur du texte	43
France. Ministère de l'instruction publique. Auteur du texte	41
Académie des sciences, inscriptions et belles-lettres (Toulouse). Auteur du texte	41
Académie nationale de Reims. Auteur du texte	40
France. Auteur du texte	38
Nord. Conseil général. Auteur du texte	37
Académie des inscriptions et belles-lettres (France). Auteur du texte	36
France. Ministère de l'intérieur. Auteur du texte	34
Oeuvre pontificale missionnaire de la Propagation de la foi. Auteur du texte	31
Société de géographie (France). Auteur du texte	29
France. Assemblée nationale (1871-1875). Auteur du texte	27
Dumas, Alexandre (1802-1870). Auteur du texte	25
France. Ministère de la Justice. Auteur du texte	25
Société de l'histoire de France. Auteur du texte	24
Exposition internationale (1855 ; Paris). Auteur du texte	23
Académie des sciences, belles-lettres et arts (Lyon). Auteur du texte	22
France. Ministère de la marine et des colonies. Auteur du texte	21
France. Ministère du commerce. Auteur du texte	21
Académie des sciences (France). Auteur du texte	21
France. Ministère des finances	21
Congrès scientifique de France	20
Société académique de l'Aube	20
Société d'archéologie lorraine. Auteur du texte	20
Académie des sciences morales et politiques (France). Auteur du texte	20
Académie des beaux-arts (France). Auteur du texte	19
Fédération des sociétés d'histoire et d'archéologie d'Alsace. Auteur du texte	19
Académie des poètes (France). Auteur du texte	18
Société historique de Gascogne. Auteur du texte	18
Académie des sciences, belles-lettres et arts (Rouen). Auteur du texte	18
Académie nationale de médecine (France). Auteur du texte	18
Compagnie de Jésus. Auteur du texte	18
France. Conseil d'État (1799-....). Auteur du texte	17
Société de statistique de Marseille. Auteur du texte	16
Société des antiquaires de l'Ouest. Auteur du texte	16
Académie des sciences, lettres et arts (Arras). Auteur du texte	15
Académie nationale des sciences, arts et belles-lettres (Caen). Auteur du texte	15
Société archéologique et historique de l'Orléanais. Auteur du texte	14
Société académique de l'Aube. Auteur du texte	14
Société de l'histoire de l'art français (France). Auteur du texte	14
Société de l'histoire du protestantisme français. Auteur du texte	13
Comité flamand de France. Auteur du texte	13
Comité des travaux historiques et scientifiques (France). Auteur du texte	13
Ducourtieux, Paul (1846-1925). Auteur du texte	13
Vaucluse. Conseil général. Auteur du texte	13
Académie des sciences, belles-lettres et arts (Clermont-Ferrand). Auteur du texte	13
Société nationale de protection de la nature (France). Auteur du texte	12
Saône-et-Loire. Conseil général. Auteur du texte	12
Société philotechnique (Paris). Auteur du texte	12
Salon. Auteur du texte	12
Association normande. Auteur du texte	12
Haut-Rhin. Conseil général. Auteur du texte	12
Société académique de Maine-et-Loire. Auteur du texte	11
Société nationale pour l'émancipation intellectuelle (France). Auteur du texte	11
Académie florimontane (Annecy). Auteur du texte	11
Société des sciences historiques et naturelles de l'Yonne. Auteur du texte	11
Société archéologique d'Eure-et-Loir. Auteur du texte	11
Société libre des beaux-arts (Paris). Auteur du texte	11
Oran (Département). Auteur du texte	11
Société savoisienne d'histoire et d'archéologie. Auteur du texte	10
Académie des sciences, belles-lettres et arts de Savoie. Auteur du texte	10
Société dunkerquoise pour l'encouragement des sciences, des lettres et des arts. Auteur du texte	10
Société d'archéologie et d'histoire de la Moselle. Auteur du texte	10
Société d'agriculture, de sciences, d'arts et de belles-lettres (Indre-et-Loire). Auteur du texte	9
Commission archéologique de Maine et Loire. Auteur du texte	9
Société agricole, scientifique et littéraire des Pyrénées-Orientales. Auteur du texte	9
Société d'émulation de Cambrai. Auteur du texte	9
Société d'économie sociale. Auteur du texte	9
Société du Berry (Paris). Auteur du texte	9
Société d'agriculture, sciences et arts de la Sarthe. Auteur du texte	9
Société archéologique de Touraine. Auteur du texte	9
Société nationale d'agriculture, sciences et arts (Douai, Nord). Auteur du texte	9
Société d'ethnographie de Paris. Auteur du texte	9
Gard. Conseil général. Auteur du texte	9
Bouches-du-Rhône. Conseil général. Auteur du texte	9
Moselle. Conseil général. Auteur du texte	9
Académie nationale de Metz. Auteur du texte	9
Société archéologique, historique et géographique du département de Constantine	9
Société d'horticulture et d'arboriculture de la Côte-D'Or. Auteur du texte	8
France. Académie (Lyon). Auteur du texte	8
Société de médecine (Lyon). Auteur du texte	8
Société des amis des arts (Strasbourg). Auteur du texte	8
Académie des sciences, lettres et arts (Amiens). Auteur du texte	8
Société académique de Laon. Auteur du texte	8
Société d'histoire de Lyon. Auteur du texte	8
Constantine (Département). Conseil général	8
Seine-et-Marne. Conseil général. Auteur du texte	8
Société des études historiques (France). Auteur du texte	8
Société des amis des arts de Bordeaux	7
Société de statistique, sciences, lettres et arts du département des Deux-Sèvres. Auteur du texte	7
Société archéologique, scientifique et littéraire (Béziers, Hérault). Auteur du texte	7
Société d'agriculture, industrie, sciences, arts et belles-lettres du département de la Loire. Auteur du texte	7
Académie d'Orléans. Auteur du texte	7
Exposition de Chaumont. Auteur du texte	7
Côte-d'Or. Conseil général. Auteur du texte	7
France. Ministère de la guerre (1791-1936). Auteur du texte	7
Académie delphinale. Auteur du texte	7
Comité d histoire et d archéologie de la province ecclésiastique d Auch. Auteur du texte	7
Union intellectuelle de Paris et de la province	6
Société des sciences et arts de la Réunion. Auteur du texte	6
Société des auteurs et compositeurs dramatiques (France). Auteur du texte	6
Société archéologique, historique et géographique du département de Constantine. Auteur du texte	6
Académie de Montauban. Auteur du texte	6
Académie nationale des sciences, belles-lettres et arts (Bordeaux). Auteur du texte	6
Société académique des Hautes-Pyrénées. Auteur du texte	6
Société d'agriculture, sciences et arts de la Dordogne. Auteur du texte	6
Société de biologie (France). Auteur du texte	6
Société des lettres, sciences et arts de l'Aveyron. Auteur du texte	6
Société royale et centrale d'agriculture (France). Auteur du texte	6
Société d'études scientifiques et archéologiques de Draguignan et du Var. Auteur du texte	6
Société des beaux-arts (Caen). Auteur du texte	6
Société d'économie politique (France ; 1847-....). Auteur du texte	6
Société d'archéologie, d'histoire et de géographie de la Drôme. Auteur du texte	6
Société des lettres, sciences et arts (Lozère). Auteur du texte	6
Académie de Stanislas (Nancy). Auteur du texte	6
Société industrielle (Mulhouse, Haut-Rhin). Auteur du texte	6
Société archéologique de Sens. Auteur du texte	6
Société d'histoire naturelle et d'ethnographie de Colmar. Auteur du texte	5
Société académique de l'Oise. Auteur du texte	5
Église catholique. Diocèse (Versailles). Auteur du texte	5
Société de secours aux blessés militaires (France). Auteur du texte	5
Institut des provinces (France). Auteur du texte	5
Société asiatique (France). Auteur du texte	5
Société d'archéologie et d'histoire (Seine-et-Marne). Auteur du texte	5
Société linnéenne du département de Maine-et-Loire. Auteur du texte	5
Société des antiquaires de la Morinie. Auteur du texte	5
France. Comité de la langue, de l'histoire et des arts de la France. Auteur du texte	5
France. Cour d'appel (Paris). Auteur du texte	5
Haute-Garonne. Conseil général. Auteur du texte	5
Société littéraire de Strasbourg. Auteur du texte	5
Œuvre d'Orient (France). Auteur du texte	5
Théâtre de Nîmes. Auteur du texte	4
Académie des sciences, agriculture, arts et belles lettres (Aix-en-Provence, Bouches-du-Rhône). Auteur du texte	4
Société d'histoire et d'archéologie de Senlis. Auteur du texte	4
Société académique du Puy-en-Velay et de la Haute-Loire. Auteur du texte	4
Pyrénées-Atlantiques. Conseil général. Auteur du texte	4
Société littéraire et scientifique de Castres. Auteur du texte	4
Lice chansonnière (Paris). Auteur du texte	4
Société scientifique du Dauphiné. Auteur du texte	4
Société historique, littéraire, artistique et scientifique du département du Cher. Auteur du texte	4
Manche. Conseil général. Auteur du texte	4
Rhône. Conseil général. Auteur du texte	4
Société académique de Cherbourg. Auteur du texte	4
Oise. Conseil général. Auteur du texte	4
Société nationale des antiquaires de France. Auteur du texte	4
Aisne. Conseil général. Auteur du texte	4
Société archéologique et historique de Tarn-et-Garonne. Auteur du texte	4
Société des antiquaires de Normandie. Auteur du texte	4
Commission historique du Nord. Auteur du texte	4
Eglise catholique. Diocèse (Reims, Marne). Auteur du texte	4
Académie des sciences et lettres de Montpellier. Auteur du texte	4
France. Ministère des affaires étrangères (1588-2007). Auteur du texte	3
Société des sciences et lettres de Loir-et-Cher. Auteur du texte	3
Office de publicité de la Gironde. Auteur du texte	3
Société académique du Bas-Rhin. Auteur du texte	3
Société d'émulation de la Vendée. Auteur du texte	3
Gironde. Commission des monuments historiques. Auteur du texte	3
Société d'anthropologie de Paris. Auteur du texte	3
Société d'agriculture, des sciences et des arts (Haute-Vienne). Auteur du texte	3
Société éduenne (Autun, Saône-et-Loire). Auteur du texte	3
Association bretonne et Union régionaliste bretonne. Auteur du texte	3
Société académique de l'arrondissement de Boulogne-sur-Mer. Auteur du texte	3
Landes. Conseil général. Auteur du texte	3
Haute-Saône. Conseil général. Auteur du texte	3
Société médicale des hôpitaux de Paris. Auteur du texte	3
Société d'agriculture, histoire naturelle et arts utiles de Lyon. Auteur du texte	3
France. Ministère de la guerre (1791-1936)	3
Algérie (Période coloniale). Auteur du texte	3
Société de protection des apprentis et des enfants employés dans les manufactures (France). Auteur du texte	3
Société archéologique de Montpellier. Auteur du texte	3
Société archéologique du Midi de la France. Auteur du texte	3
Yonne. Conseil général. Auteur du texte	3
Société nivernaise des lettres, sciences et arts. Auteur du texte	3
Nièvre. Conseil général. Auteur du texte	3
Syndicat des ingénieurs des travaux publics de l'Etat et des collectivités territoriales (France). Auteur du texte	2
Calvados. Conseil général. Auteur du texte	2
Société d'agriculture, d'horticulture, d'industrie, des sciences et des arts de l'arrondissement de Falaise. Auteur du texte	2
Société de l'Union des arts (Metz). Auteur du texte	2
Exposition internationale. Auteur du texte	2
Isère. Conseil général. Auteur du texte	2
Société d'histoire et d'archéologie (Chalon-sur-Saône, Saône-et-Loire). Auteur du texte	2
Académie Flosalpine (Hautes-Alpes). Auteur du texte	2
Compagnie universelle du canal maritime de Suez. Auteur du texte	2
Société littéraire, scientifique et artistique d'Apt. Auteur du texte	2
France. Ministère de l'agriculture et du commerce (1869-1881). Auteur du texte	2
Académie des belles-lettres, sciences et arts (La Rochelle). Section des belles-lettres et beaux-arts. Auteur du texte	2
Société scientifique et littéraire (Alés, Gard). Auteur du texte	2
Académie nationale agricole, manufacturière et commerciale (France). Auteur du texte	2
Société d'agriculture, industrie, sciences, arts et lettres du département de l'Ardèche. Auteur du texte	2
Société littéraire et scientifique de Chauny. Auteur du texte	2
Société scientifique et littéraire de Cannes et de l'arrondissement de Grasse. Auteur du texte	2
Société des antiquaires du Centre. Auteur du texte	2
Société des sciences historiques et naturelles (Semur-en-Auxois, Côte-d'Or). Auteur du texte	2
Société historique et scientifique de Saint-Jean-d'Angély. Auteur du texte	2
Société académique de Saint-Quentin. Auteur du texte	2
Société d'histoire et d'archéologie de Nantes et de Loire-Atlantique. Auteur du texte	2
Société de l'industrie minérale (France). Auteur du texte	2
Société Ramond (Bagnères-de-Bigorre, Hautes-Pyrénées). Auteur du texte	2
Savoie. Conseil général. Auteur du texte	2
Loiret. Conseil général. Auteur du texte	2
Société d'histoire et d'archéologie de Maurienne. Auteur du texte	2
Société linnéenne de Normandie. Auteur du texte	2
Société académique de Brest. Auteur du texte	2
Institut de France. Auteur du texte	2
Académie de Versailles, des Yvelines et de l'Ile-de-France. Auteur du texte	2
Association des officiers des eaux et forêts (France). Auteur du texte	2
Côte-d'Or. Commission départementale des antiquités. Auteur du texte	2
France. Corps législatif (1852-1870)	2
Conférence Tocqueville. Auteur du texte	2
Athénée du Beauvaisis. Auteur du texte	2
Vosges. Conseil général. Auteur du texte	2
Pyrénées-Orientales. Conseil général. Auteur du texte	2
Société académique de Nantes et de la Loire-Atlantique. Auteur du texte	2
Société orientale de France. Auteur du texte	2
Société d'émulation de Roubaix. Auteur du texte	2
Société d'archéologie, de littérature, sciences et arts d'Avranches, Mortain et Granville. Auteur du texte	2
Société centrale d'agriculture (Yonne). Auteur du texte	2
Conseil municipal de Sétif. Auteur du texte	2
Société des compositeurs de musique (France). Auteur du texte	2
Mascret, Hippolyte François	2
Société d'émulation (Ain). Auteur du texte	2
Lot-et-Garonne. Conseil général. Auteur du texte	1
Pas-de-Calais. Auteur du texte	1
Union des comptoirs agricoles et industriels. Auteur du texte	1
Société d'agriculture de Chalon-sur-Saône. Auteur du texte	1
Soubies, Albert (1846-1918). Auteur du texte	1
Loire. Conseil général. Auteur du texte	1
Théâtre municipal (Orléans). Auteur du texte	1
Société industrielle et agricole d'Angers et du département de Maine-et-Loire. Auteur du texte	1
Académie française. Auteur du texte	1
Société des sciences médicales (Poitiers). Auteur du texte	1
Société des lettres, sciences et arts du département des Landes. Auteur du texte	1
France. Tribunal de commerce (Paris). Auteur du texte	1
France. Direction générale de l'enregistrement, des domaines et du timbre. Auteur du texte	1
Société de Saint-Vincent-de-Paul. Auteur du texte	1
Société d'agriculture de Joigny. Auteur du texte	1
Société des lettres, sciences et arts (Alpes-Maritimes). Auteur du texte	1
Administration générale de l'assistance publique (Paris). Auteur du texte	1
France. Comité central de vaccine. Auteur du texte	1
Société de législation comparée. Auteur du texte	1
Société d'agriculture, des belles-lettres, sciences et arts (Rochefort, Charente-Maritime). Auteur du texte	1
Territoire de Belfort. Conseil général. Auteur du texte	1
Société d'agriculture sciences et arts (Meaux). Auteur du texte	1
Société d'archéologie et d'histoire de la Manche. Auteur du texte	1
Société d'histoire naturelle (Toulouse). Auteur du texte	1
Société des sciences naturelles et des arts (Saint-Etienne). Auteur du texte	1
Habasque, François-Marie-Guillaume (1788-1855). Auteur du texte	1
France. Service historique de la marine. Auteur du texte	1
Indre. Conseil général. Auteur du texte	1
Allier. Conseil général. Auteur du texte	1
Société des sciences, lettres et arts de Pau et du Béarn. Auteur du texte	1
Inde française. Auteur du texte	1
Société hahnemannienne fédérative. Auteur du texte	1
Société historique (Compiègne, Oise). Auteur du texte	1
Aube. Conseil général. Auteur du texte	1
France. Cour d'appel (Lyon). Auteur du texte	1
Observatoire de Paris. Auteur du texte	1
Meurthe-et-Moselle. Conseil général. Auteur du texte	1
Société dunoise d'archéologie, histoire, sciences et arts. Auteur du texte	1
Oran	1
France. Cour d'appel (Aix-en-Provence, Bouches-du-Rhône). Auteur du texte	1
Maison de commission pour la France et l'étranger Schulz et Thuillié (Paris). Auteur du texte	1
Société archéologique, historique et scientifique (Noyon, Oise). Auteur du texte	1
Haute-Marne. Conseil général. Auteur du texte	1
Société d'émulation de la Provence. Auteur du texte	1
Seine-Maritime. Conseil général. Auteur du texte	1
Centre français de droit comparé. Auteur du texte	1
Comité d'histoire et d'archéologie (Bourges). Auteur du texte	1
Société des sciences et arts de Vitry-le-François. Auteur du texte	1
Seine. Conseil général. Auteur du texte	1
Alpes-Maritimes. Conseil général. Auteur du texte	1
Algérie (Période coloniale). Conseil supérieur de gouvernement. Auteur du texte	1
Cantal. Conseil général. Auteur du texte	1
Comité des travaux historiques et scientifiques (France). Commission d'histoire économique et sociale de la Révolution franc̜aise. Auteur du texte	1
Berthoud, Samuel-Henry (1804-1891). Auteur du texte	1
Vienne (Département). Conseil général. Auteur du texte	1
Société d'agriculture, sciences et arts d'Agen. Auteur du texte	1
Académie de Sainte-Croix (Orléans). Auteur du texte	1
Guyane. Auteur du texte	1
Cercle du commerce et de l'industrie. Auteur du texte	1
Athénée des arts, sciences et belles-lettres (Paris). Auteur du texte	1
Neuilly-sur-Seine (Hauts-de-Seine). Auteur du texte	1
Société des bibliophiles français. Auteur du texte	1
Mathieu de La Drôme, Philippe Antoine. Auteur du texte	1
Société archéologique, scientifique et littéraire du Vendômois. Auteur du texte	1
Société de l'histoire de Normandie. Auteur du texte	1
France. Ministère de l'intérieur	1
Société centrale de sauvetage des naufragés (France). Auteur du texte	1
Barreswil, Charles-Louis (1817-1870). Auteur du texte	1
Société lorraine des amis des arts. Salon	1
Musée Parent. Auteur du texte	1
Gagne, Paulin (1808-1876)	1
Société de linguistique de Paris. Auteur du texte	1
Comice agricole et viticole de l'arrondissement d'Auxerre. Auteur du texte	1
Véron, Pierre (1833-1900). Auteur du texte	1
Société de sphragistique de Paris. Auteur du texte	1
Association des amis de la Bibliothèque nationale de France. Auteur du texte	1
Athénée oriental (France). Auteur du texte	1
Institut national genevois. Auteur du texte	1
Ladrey, Claude (1823-1885). Auteur du texte	1
Dordogne. Conseil général. Auteur du texte	1
Union des arts (Marseille). Auteur du texte	1
Seine-Maritime. Commission départementale des antiquités. Auteur du texte	1
Société des amis des arts (Lyon). Auteur du texte	1
Oeuvre de Saint-Augustin et de Sainte-Monique (Alger)	1
Société de statistique de Paris. Auteur du texte	1
Société d'agriculture, sciences, arts et belles-lettres de Bayeux. Auteur du texte	1
Jeandel, Auguste. Auteur du texte	1
Société historique et archéologique de Langres. Auteur du texte	1
Société française de numismatique. Auteur du texte	1
Académie des arts et sciences (Carcassonne). Auteur du texte	1
Société française de photographie. Auteur du texte	1
Ligue internationale de la paix et de la liberté	1
Académie de la Val d'Isère. Auteur du texte	1
Club alpin suisse. Auteur du texte	1