Term	sim - no literature	sim - all	
marchand	0.42	0.43	-0.01
exploiteur	0.36	0.37	-0.01
bourgeois	0.30	0.32	-0.02
prêt	0.30	0.31	-0.01
monnaie	0.28	0.25	0.02
capital	0.27	0.24	0.03
argent	0.25	0.27	-0.02
industriel	0.24	0.24	0.00
bourgeoisie	0.24	0.26	-0.01
propriétaire	0.24	0.23	0.01
banque	0.24	0.28	-0.04
privilège	0.23	0.20	0.03
capitaux	0.23	0.23	0.00
échange	0.23	0.22	0.01
capitalisme	0.23	0.23	0.00
finance	0.22	0.20	0.02
bourse	0.20	0.22	-0.02
chemins	0.17	0.19	-0.02
société	0.16	0.14	0.02
féodalité	0.14	0.15	-0.01
entreprise	0.12	0.12	0.01
fianciere	0.00	0.00	0.00
sffaires	0.00	0.00	0.00
monopoliste	0.00	0.00	0.00