ALL		SIM	NO literature	SIM
errant		0.83	errant	0.83
juifs		0.79	juive	0.79
juive		0.79	juifs	0.78
israélite		0.78	israélite	0.78
mahométan		0.78	mahométan	0.77
johanan		0.77	juif-	0.77
hirtzel		0.77	guèbre	0.77
guèbre		0.77	hirtzel	0.76
laquedem		0.77	chrétien	0.76
israëlite		0.77	israëlite	0.76
talmudiste		0.76	gabélus	0.76
synagogue		0.76	chaman	0.76
gabélus		0.76	brahme	0.76
saducéen		0.76	galiléen	0.75
palestinien		0.76	musulman	0.75
galiléen		0.76	arménien	0.75
chrétien		0.75	laquedem	0.75
caab		0.75	gobner	0.75
juif-		0.75	prophète	0.75
gobner		0.75	synagogue	0.75
rabbin		0.75	johanan	0.75
déicide		0.75	adoniram	0.75
renégat		0.75	usurier	0.75
musulman		0.75	rabbin	0.74
prophète		0.75	kasangian	0.74
arménien		0.75	lonais	0.74
kasangian		0.75	palestinien	0.74
juiferrant		0.75	déicide	0.74
balaam		0.75	ahasvérus	0.74
chaman		0.75	uléma	0.74
ombien		0.75	judaïsme	0.74
kimchi		0.75	balaam	0.74
christianisé		0.74	jocabed	0.74
ismaélite		0.74	phanariote	0.74
cophte		0.74	cananéen	0.74
débileur		0.74	ghetto	0.74
lonais		0.74	khaïbar	0.74
samuel		0.74	idolâtre	0.74
baptiseur		0.74	syrien	0.74
cartaphilus		0.74	philistin	0.74
tibbon		0.74	débaptisé	0.73
smyrniote		0.74	saintsimonien	0.73
helcias		0.74	samuel	0.73
gaon		0.74	pedrillo	0.73
socinien		0.74	esaù	0.73
métans		0.74	parpaillot	0.73
enfroqué		0.74	melchisédec	0.73
brescuini		0.74	helcias	0.73
ghetto		0.74	anabaptiste	0.73
chananéen		0.74	ashavérus	0.73