Term	sim - no literature	sim - all	diff
bourgeois	0.33	0.33	0.00
bourgeoisie	0.28	0.28	0.00
banque	0.25	0.27	-0.02
marchand	0.27	0.27	0.00
monnaie	0.28	0.26	0.03
privilège	0.29	0.26	0.04
finance	0.26	0.25	0.01
prêt	0.23	0.25	-0.02
argent	0.25	0.25	0.00
capitaux	0.24	0.24	-0.01
chemins	0.22	0.24	-0.02
bourse	0.22	0.23	-0.01
capitalisme	0.24	0.22	0.02
exploiteur	0.25	0.22	0.02
féodalité	0.18	0.20	-0.02
capital	0.22	0.19	0.03
entreprise	0.19	0.18	0.01
société	0.20	0.18	0.02
échange	0.17	0.15	0.02
propriétaire	0.19	0.15	0.04
industriel	0.15	0.13	0.02
fianciere	0.00	0.00	0.00
sffaires	0.00	0.00	0.00
monopoliste	0.00	0.00	0.00